Platebarcode	Well	nrCells	area	intensity
PLATE11001	E9	35235	61.6782198541404	0.0328989326837734
PLATE11001	E10	36899	61.561027987437	0.0358411290748864
PLATE11001	E11	27064	56.8253523816002	0.02796637515075
PLATE11001	E12	36803	62.6180498833066	0.0354707058637502
PLATE11001	F1	43319	60.3769531642376	0.0344006064142589
PLATE11001	F2	52946	61.992929054616	0.0397108923049392
PLATE11001	F3	53430	63.2331968050186	0.0380501758431824
PLATE11001	F4	43041	60.9559529755665	0.0374624740628141
PLATE11001	F5	11124	38.1471627848588	0.0187203639557088
PLATE11001	F6	51672	63.4714738384148	0.0409691907315165
PLATE11001	F7	22104	53.4909139091769	0.0253221108451717
PLATE11001	F8	32251	61.7697988179019	0.0332214944085038
PLATE11001	F9	38493	62.5436275643439	0.033111125962048
PLATE11001	F10	22220	53.9002708573396	0.0273317821329881
PLATE11001	F11	10619	37.4676880907328	0.018081168334873
PLATE11001	F12	36677	63.5442414133046	0.0362377508284127
PLATE11001	G1	54978	62.3429380961475	0.0396374221342084
PLATE11001	G2	51249	63.8055624106009	0.0421964049183185
PLATE11001	G3	50868	63.5327895271938	0.0396931396158691
PLATE11001	G4	50425	64.2160763174421	0.0415928186384693
PLATE11001	G5	53812	63.2252408522983	0.0408843444098819
PLATE11001	G6	50542	64.5068078205486	0.0420477352288179
PLATE11001	G7	37402	61.0592969452229	0.0347254950786611
PLATE11001	G8	36852	63.3380417811591	0.0366240053897245
PLATE11001	G9	32304	62.1334404403591	0.0328796748739059
PLATE11001	G10	31401	62.2374350121642	0.0341647424206711
PLATE11001	G11	37058	62.5159896253846	0.0340567909963616
PLATE11001	G12	35134	63.8655713761874	0.0348282935848837
PLATE11001	H1	51877	60.9826518439086	0.0370498927550861
PLATE11001	H2	52271	63.674681428716	0.0415161803402116
PLATE11001	H3	50361	62.8311027128598	0.0379257367379805
PLATE11001	H4	48522	63.0013806808762	0.0391525417455142
PLATE11001	H5	50710	63.2760227596666	0.038292277966602
PLATE11001	H6	51286	64.0690901055699	0.0414083212731467
PLATE11001	H7	31460	60.489917379538	0.0312759725016856
PLATE11001	H8	36520	62.4957562818182	0.0357014627593074
PLATE11001	H9	34402	62.05149409195	0.0325529754479808
PLATE11001	H10	29075	61.4776134622565	0.0324796060673228
PLATE11001	H11	32166	61.9403475296974	0.0319146263707006
PLATE11001	H12	32389	62.5498607624964	0.0339486856983649
PLATE11002	A1	28138	62.7720039735528	0.0325841978330647
PLATE11002	A2	17814	54.7275440891724	0.0279035464622371
PLATE11002	A3	20565	67.412069171918	0.0331441306463027
PLATE11002	A4	26750	64.2671668359126	0.0339415757226857
PLATE11002	A5	17942	54.2725657712419	0.0254491673370677
PLATE11002	A6	21164	68.0962877079541	0.0355903237653926
PLATE11002	A7	51426	61.9260332898057	0.0398127774706628
PLATE11002	A8	34782	66.4027025735152	0.0362106382983225
PLATE11002	A9	26480	82.8064022230079	0.044862839543083
PLATE11002	A10	52129	63.430423283821	0.0424761780738221
PLATE11002	A11	26150	63.4164081024942	0.0285691600701145
PLATE11002	A12	27653	81.103210042883	0.0464190317059175
PLATE11002	B1	25377	61.4424557877428	0.0308520758109607
PLATE11002	B2	26820	61.8110645240178	0.0327611109704537
PLATE11002	B3	12423	44.953431444197	0.0208779910644227
PLATE11002	B4	25919	61.8886473277696	0.0323435891870119
PLATE11002	B5	27165	61.3335187157897	0.0301137976786833
PLATE11002	B6	12907	44.0163923000716	0.0212320803756324
PLATE11002	B7	50767	61.3913510146905	0.0386022369975113
PLATE11002	B8	53441	62.1442270073383	0.0413878992412754
PLATE11002	B9	12997	43.4852081004822	0.0195023238455688
PLATE11002	B10	51097	62.9589451953455	0.041202564075261
PLATE11002	B11	51509	60.7403260754769	0.0379261105461507
PLATE11002	B12	12463	41.89761019171	0.0215616757851932
PLATE11002	C1	28404	60.8814556216695	0.0321802680260739
PLATE11002	C2	27297	62.0798556283196	0.0324462758235356
PLATE11002	C3	34510	60.215307931227	0.0351114122040515
PLATE11002	C4	30759	62.3240597658149	0.0351060270951577
PLATE11002	C5	22047	57.875703011505	0.0276373122903792
PLATE11002	C6	27057	63.0219412563758	0.0334404712345557
PLATE11002	C7	53492	61.3840689659245	0.0399434265192902
PLATE11002	C8	48400	63.4652494344375	0.0398991571277146
PLATE11002	C9	53196	61.4363236985283	0.0398178114202474
PLATE11002	C10	54369	62.377073532471	0.043115922839347
PLATE11002	C11	33278	61.5853731656863	0.0312337550728818
PLATE11002	C12	53369	64.1739155461127	0.0430372547866075
PLATE11002	D1	38971	63.4699000073386	0.0370759607891142
PLATE11002	D2	30202	60.0680141082711	0.0348592178119311
PLATE11002	D3	29093	60.8561249310845	0.0314558409698591
PLATE11002	D4	39109	64.0416891749347	0.0387584624544486
PLATE11002	D5	30164	62.1281558168968	0.0327816817715176
PLATE11002	D6	28653	61.3210380052351	0.0327423856407402
PLATE11002	D7	60361	62.1632598421923	0.0422513108519141
PLATE11002	D8	50082	59.201132929821	0.0411825909532728
PLATE11002	D9	51291	60.6352404876556	0.0387597179835021
PLATE11002	D10	59886	62.9080607960128	0.0447151846790921
PLATE11002	D11	56153	60.6282696388909	0.0407317849697171
PLATE11002	D12	51747	62.960926587322	0.040710092105551
PLATE11002	E1	28533	61.8867324515765	0.030996182109016
PLATE11002	E2	24725	58.4380885409336	0.0293041985006943
PLATE11002	E3	30108	61.5157995311647	0.0319556667380746
PLATE11002	E4	29840	60.1832647446925	0.032224328454895
PLATE11002	E5	24594	56.2578066560216	0.0270853125268618
PLATE11002	E6	27762	61.7389828839533	0.0320036923956542
PLATE11002	E7	53214	61.2502394376566	0.0380036482009766
PLATE11002	E8	44856	56.5458284875314	0.0346553581969254
PLATE11002	E9	50211	62.0867163202712	0.038756639075622
PLATE11002	E10	51226	61.7879770754981	0.0403877360463854
PLATE11002	E11	44040	55.3017079884977	0.0320993419526657
PLATE11002	E12	54092	63.1602919138031	0.0413745790530696
PLATE11002	F1	18819	51.5375143490141	0.0241049080299278
PLATE11002	F2	27732	60.4139614765432	0.0312889161342863
PLATE11002	F3	28934	62.2624348610129	0.0301311700454847
PLATE11002	F4	19250	51.9337086039797	0.0259908018588187
PLATE11002	F5	10892	38.3766621327048	0.0178263024829839
PLATE11002	F6	29494	64.0772532598965	0.0336226024632416
PLATE11002	F7	34471	58.3511720175237	0.0307608355689884
PLATE11002	F8	51891	61.3352527341752	0.0396627274715768
PLATE11002	F9	50024	62.801210732062	0.036754209463402
PLATE11002	F10	36082	59.2106592183859	0.0349793916697365
PLATE11002	F11	10250	37.1540326013689	0.0182571146624109
PLATE11002	F12	49730	63.2728539975761	0.0393214572603211
PLATE11002	G1	31201	61.9307444983678	0.0326558760354646
PLATE11002	G2	27252	62.9761026435277	0.0333914870467641
PLATE11002	G3	25269	60.6990026883667	0.0305304419488492
PLATE11002	G4	25884	62.4631148621401	0.032483315893516
PLATE11002	G5	26540	61.4587865738414	0.0306009207869149
PLATE11002	G6	25948	62.173391564682	0.0319953748165771
PLATE11002	G7	53994	60.4681329912615	0.0392500091396748
PLATE11002	G8	52734	62.3453686390015	0.0412010397698777
PLATE11002	G9	52956	61.4550685757862	0.0395651257132364
PLATE11002	G10	52476	63.0766845052211	0.041741503486771
PLATE11002	G11	51933	61.2915055693692	0.0384997004094159
PLATE11002	G12	51243	62.8274964944788	0.0415400836938631
PLATE11002	H1	25731	60.2580063451559	0.0292775213317191
PLATE11002	H2	26913	62.2030747821002	0.0329158758354077
PLATE11002	H3	25100	61.2131543421553	0.0295701439173708
PLATE11002	H4	22776	60.3197843181452	0.0303247775026254
PLATE11002	H5	24959	60.908396140031	0.0293055635880946
PLATE11002	H6	27477	63.0839219868996	0.0326831207802984
PLATE11002	H7	50646	59.6579719133187	0.0359797825888933
PLATE11002	H8	52450	61.7269825023925	0.0403448356189886
PLATE11002	H9	50056	61.6181447981867	0.0374637358132326
PLATE11002	H10	50461	61.5309528533285	0.0390186839949814
PLATE11002	H11	52509	61.159686966304	0.0378038494641107
PLATE11002	H12	51479	62.2186363697297	0.0404834029114061
PLATE11003	A1	34802	61.9499323765832	0.0296043369688218
PLATE11003	A2	17159	53.8296959187357	0.0226852482570538
PLATE11003	A3	21720	70.8308901459514	0.0319071923036465
PLATE11003	A4	34214	64.6621710099718	0.0326965994662738
PLATE11003	A5	17168	50.9313085177681	0.0208725998155538
PLATE11003	A6	22969	73.028556826712	0.0350534856084504
PLATE11003	A7	49046	60.6906445976982	0.0339493939943216
PLATE11003	A8	36551	66.1239878719573	0.0343719431340276
PLATE11003	A9	28124	76.0130782956607	0.0359153094700327
PLATE11003	A10	48282	62.4939342595798	0.0363561699681415
PLATE11003	A11	31127	65.0984077596192	0.0295208306488063
PLATE11003	A12	28281	77.2908649455899	0.040008640416916
PLATE11003	B1	31400	61.5118686467009	0.0278474972744603
PLATE11003	B2	33922	62.9868921184982	0.0308098717776265
PLATE11003	B3	9834	33.5152371722068	0.0171617898298531
PLATE11003	B4	31775	63.4410475053697	0.0303659758542604
PLATE11003	B5	34485	61.7911019094122	0.0286008337016925
PLATE11003	B6	9958	34.229947652014	0.0184889320156479
PLATE11003	B7	46895	61.1186686901493	0.0329679140263215
PLATE11003	B8	49178	61.4127735469145	0.0353767035516395
PLATE11003	B9	15693	45.1289356368918	0.0190533856911774
PLATE11003	B10	44245	60.9517351934802	0.0337301038430574
PLATE11003	B11	47630	60.4656085751896	0.0323225408821807
PLATE11003	B12	15501	47.3285205450373	0.0207121999075713
PLATE11003	C1	34085	60.7147321063769	0.0290920082385713
PLATE11003	C2	32456	62.6295355837346	0.0291116882384115
PLATE11003	C3	34949	62.3992171285066	0.0303310438381715
PLATE11003	C4	37727	62.4300881360155	0.0322318934030702
PLATE11003	C5	23206	57.8871629945376	0.0243560013213868
PLATE11003	C6	34652	64.8326650193346	0.0327417689866335
PLATE11003	C7	46039	59.5733085345328	0.0320305002979691
PLATE11003	C8	43364	61.8318955769475	0.0341754445933387
PLATE11003	C9	48201	61.1046180472416	0.033417549956947
PLATE11003	C10	45607	61.0984300104007	0.0350601757722765
PLATE11003	C11	33372	61.0447043145353	0.0292839198579159
PLATE11003	C12	47669	61.7402971076808	0.036006458563749
PLATE11003	D1	48579	62.5522099922888	0.034481282193088
